Heart Rate Data
Date	Heart Rate Range (bpm)
20/04/2025	58 - 123 bpm
19/04/2025	56 - 151 bpm
18/04/2025	56 - 160 bpm
17/04/2025	55 - 157 bpm
16/04/2025	53 - 136 bpm
15/04/2025	50 - 153 bpm
14/04/2025	52 - 151 bpm
13/04/2025	59 - 116 bpm
12/04/2025	54 - 130 bpm
11/04/2025	55 - 154 bpm
10/04/2025	50 - 145 bpm
09/04/2025	54 - 163 bpm
08/04/2025	50 - 142 bpm
07/04/2025	52 - 128 bpm
06/04/2025	51 - 153 bpm
04/04/2025	56 - 121 bpm
03/04/2025	51 - 167 bpm
02/04/2025	48 - 151 bpm
01/04/2025	54 - 127 bpm
31/03/2025	56 - 160 bpm
30/03/2025	56 - 164 bpm
29/03/2025	56 - 132 bpm
28/03/2025	50 - 143 bpm
27/03/2025	49 - 165 bpm
26/03/2025	50 - 117 bpm
25/03/2025	48 - 104 bpm
24/03/2025	46 - 161 bpm
23/03/2025	50 - 131 bpm
22/03/2025	54 - 112 bpm
21/03/2025	55 - 140 bpm
20/03/2025	56 - 189 bpm
